record_id,source_id,catalyst,catalyst_band_gap_ev,catalyst_surface_area_m2g,catalyst_particle_size_nm,dye_name,dye_pubchem_cid,dye_molecular_formula,initial_dye_concentration_value,initial_dye_concentration_unit,catalyst_dosage_value,catalyst_dosage_unit,light_type,irradiation_time_value,irradiation_time_unit,degradation_efficiency_percent
rec_photo_web_zenodo_16640173_00001,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,Visible_LIGHT,15.0,min,5.5147058823529544
rec_photo_web_zenodo_16640173_00002,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,UV_LIGHT,15.0,min,6.323185011709597
rec_photo_web_zenodo_16640173_00003,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,Visible_LIGHT,15.0,min,27.97619047619049
rec_photo_web_zenodo_16640173_00004,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,UV_LIGHT,15.0,min,30.540166204986154
rec_photo_web_zenodo_16640173_00005,zenodo_16640173,TiO2_N_col,,,,RhB,,,7.0,mg/L,0.1,g/L,Visible_LIGHT,15.0,min,41.82194616977226
rec_photo_web_zenodo_16640173_00006,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,Visible_LIGHT,30.0,min,12.132352941176471
rec_photo_web_zenodo_16640173_00007,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,Visible_LIGHT,30.0,min,55.208333333333336
rec_photo_web_zenodo_16640173_00008,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,UV_LIGHT,30.0,min,55.95567867036011
rec_photo_web_zenodo_16640173_00009,zenodo_16640173,TiO2_N_col,,,,RhB,,,7.0,mg/L,0.1,g/L,UV_LIGHT,15.0,min,56.76470588235294
rec_photo_web_zenodo_16640173_00010,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,UV_LIGHT,30.0,min,14.207650273224036
rec_photo_web_zenodo_16640173_00011,zenodo_16640173,TiO2_N_col,,,,RhB,,,7.0,mg/L,0.1,g/L,Visible_LIGHT,30.0,min,84.33402346445824
rec_photo_web_zenodo_16640173_00012,zenodo_16640173,TiO2_N_col,,,,RhB,,,7.0,mg/L,0.1,g/L,UV_LIGHT,30.0,min,86.25
rec_photo_web_zenodo_16640173_00013,zenodo_16640173,TiO2_N_col,,,,RhB,,,7.0,mg/L,0.1,g/L,Visible_LIGHT,60.0,min,87.3015873015873
rec_photo_web_zenodo_16640173_00014,zenodo_16640173,TiO2_N_col,,,,RhB,,,7.0,mg/L,0.1,g/L,UV_LIGHT,60.0,min,88.75
rec_photo_web_zenodo_16640173_00015,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,UV_LIGHT,60.0,min,91.55124653739612
rec_photo_web_zenodo_16640173_00016,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,Visible_LIGHT,60.0,min,91.96428571428572
rec_photo_web_zenodo_16640173_00017,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,Visible_LIGHT,90.0,min,96.27976190476191
rec_photo_web_zenodo_16640173_00018,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,UV_LIGHT,90.0,min,97.92243767313019
rec_photo_web_zenodo_16640173_00019,zenodo_16640173,TiO2_N_col,,,,RhB,,,7.0,mg/L,0.1,g/L,Visible_LIGHT,90.0,min,100.0
rec_photo_web_zenodo_16640173_00020,zenodo_16640173,TiO2_N_col,,,,RhB,,,7.0,mg/L,0.1,g/L,Visible_LIGHT,120.0,min,100.0
rec_photo_web_zenodo_16640173_00021,zenodo_16640173,TiO2_N_col,,,,RhB,,,7.0,mg/L,0.1,g/L,UV_LIGHT,90.0,min,100.0
rec_photo_web_zenodo_16640173_00022,zenodo_16640173,TiO2_N_col,,,,RhB,,,7.0,mg/L,0.1,g/L,UV_LIGHT,120.0,min,100.0
rec_photo_web_zenodo_16640173_00023,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,UV_LIGHT,120.0,min,100.0
rec_photo_web_zenodo_16640173_00024,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,Visible_LIGHT,120.0,min,100.0
rec_photo_web_zenodo_16640173_00025,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,Visible_LIGHT,60.0,min,31.029411764705895
rec_photo_web_zenodo_16640173_00026,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,UV_LIGHT,60.0,min,36.14363778298204
rec_photo_web_zenodo_16640173_00027,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,Visible_LIGHT,90.0,min,41.61764705882353
rec_photo_web_zenodo_16640173_00028,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,UV_LIGHT,90.0,min,50.42935206869632
rec_photo_web_zenodo_16640173_00029,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,Visible_LIGHT,120.0,min,54.26470588235295
rec_photo_web_zenodo_16640173_00030,zenodo_16640173,TiO2_SiO2,,,,RhB,,,7.0,mg/L,0.1,g/L,UV_LIGHT,120.0,min,58.23575331772053
